,10104,10107,10145,11308,11850,12060,12308,12490,13407,13721,13856,13901,13928,14008,14541,14542,14593,15408,15488,15579,16851,17005,17830,18143,18163,18542,18729,19393,19502,19561,20482,21178,21936,22111,22592,22752,24205,26403,27959,38703,39642,40539,43449,44644,47896,48725,49680,50876,55976,57665,59176,59328,59408,60097,60442,61399,62092,62148,64186,65875,66093,66157,66181,69032,70519,73139,75186,75510,75825,76076,76841,77178,77274,77702,78975,79057,80100,84788,86111,86580,86783,86868,87055,87267,87447,88352,89006,89071,89179,89393,89525,89626,90215,90319,90441,91233,92602,92611,92655,93002
0,12.0,37.0,24.0,82.0,74.0,49.0,,54.0,,,81.0,56.0,68.0,26.0,77.0,,18.0,,,9.0,,34.0,41.0,,85.0,47.0,80.0,50.0,70.0,35.0,62.0,64.0,58.0,78.0,76.0,43.0,83.0,28.0,32.0,84.0,69.0,45.0,57.0,52.0,27.0,73.0,63.0,66.0,72.0,53.0,36.0,17.0,75.0,71.0,67.0,33.0,46.0,40.0,23.0,55.0,42.0,61.0,31.0,21.0,44.0,60.0,15.0,10.0,29.0,13.0,8.0,11.0,14.0,30.0,16.0,22.0,86.0,6.0,2.0,4.0,1.0,48.0,38.0,51.0,88.0,5.0,79.0,19.0,39.0,3.0,59.0,25.0,7.0,20.0,87.0,,,,65.0,
1,16.0,39.0,26.0,84.0,73.0,50.0,,61.0,,,82.0,57.0,65.0,28.0,76.0,,15.0,,,9.0,,34.0,38.0,,87.0,46.0,81.0,48.0,69.0,36.0,60.0,67.0,58.0,80.0,78.0,41.0,83.0,30.0,31.0,88.0,71.0,45.0,53.0,51.0,29.0,75.0,66.0,64.0,74.0,63.0,43.0,17.0,77.0,72.0,70.0,35.0,49.0,40.0,22.0,54.0,44.0,68.0,33.0,25.0,47.0,59.0,11.0,10.0,27.0,13.0,8.0,12.0,14.0,32.0,21.0,23.0,85.0,6.0,3.0,4.0,1.0,52.0,42.0,55.0,89.0,5.0,79.0,18.0,37.0,2.0,56.0,24.0,7.0,19.0,86.0,20.0,,,62.0,
2,16.0,42.0,26.0,85.0,73.0,52.0,,62.0,,,82.0,58.0,63.0,30.0,76.0,,13.0,,,10.0,,37.0,38.0,,88.0,47.0,81.0,45.0,70.0,35.0,60.0,65.0,59.0,80.0,77.0,40.0,83.0,29.0,33.0,89.0,71.0,43.0,49.0,50.0,28.0,74.0,67.0,64.0,75.0,66.0,46.0,17.0,79.0,72.0,69.0,34.0,54.0,39.0,20.0,53.0,44.0,68.0,32.0,25.0,48.0,55.0,11.0,9.0,27.0,14.0,8.0,12.0,15.0,31.0,21.0,22.0,84.0,6.0,2.0,4.0,1.0,51.0,41.0,56.0,86.0,5.0,78.0,18.0,36.0,3.0,57.0,23.0,7.0,19.0,87.0,24.0,,,61.0,
3,16.0,45.0,31.0,85.0,72.0,63.0,,60.0,,,81.0,50.0,61.0,27.0,76.0,,13.0,,,10.0,,41.0,64.0,,89.0,37.0,80.0,38.0,66.0,43.0,59.0,68.0,56.0,79.0,78.0,35.0,83.0,32.0,29.0,88.0,70.0,39.0,46.0,51.0,25.0,73.0,67.0,62.0,74.0,65.0,52.0,18.0,82.0,71.0,69.0,36.0,58.0,44.0,21.0,48.0,40.0,75.0,33.0,26.0,47.0,49.0,12.0,9.0,24.0,17.0,8.0,14.0,15.0,30.0,22.0,28.0,84.0,7.0,2.0,4.0,3.0,54.0,42.0,57.0,87.0,5.0,77.0,19.0,34.0,1.0,53.0,23.0,6.0,20.0,86.0,11.0,,,55.0,
4,16.0,45.0,30.0,85.0,72.0,63.0,,62.0,,,81.0,48.0,60.0,26.0,74.0,,12.0,,,10.0,,43.0,64.0,,89.0,37.0,80.0,39.0,65.0,44.0,57.0,67.0,50.0,79.0,78.0,35.0,83.0,33.0,28.0,88.0,70.0,41.0,46.0,54.0,25.0,73.0,68.0,61.0,75.0,66.0,58.0,17.0,84.0,71.0,69.0,36.0,59.0,38.0,21.0,49.0,40.0,77.0,31.0,27.0,47.0,52.0,13.0,9.0,24.0,18.0,8.0,15.0,14.0,32.0,22.0,29.0,82.0,7.0,3.0,4.0,2.0,56.0,42.0,55.0,87.0,5.0,76.0,20.0,34.0,1.0,53.0,23.0,6.0,19.0,86.0,11.0,,,51.0,
5,17.0,55.0,31.0,86.0,70.0,67.0,,64.0,,,81.0,46.0,53.0,25.0,74.0,,12.0,,,9.0,,41.0,63.0,,89.0,38.0,82.0,54.0,62.0,43.0,57.0,66.0,50.0,80.0,79.0,33.0,83.0,34.0,26.0,88.0,72.0,39.0,44.0,51.0,27.0,73.0,69.0,61.0,75.0,65.0,60.0,15.0,84.0,71.0,68.0,35.0,59.0,37.0,19.0,52.0,42.0,78.0,32.0,28.0,47.0,48.0,13.0,10.0,24.0,20.0,8.0,16.0,14.0,30.0,23.0,29.0,77.0,7.0,4.0,3.0,2.0,56.0,40.0,58.0,87.0,5.0,76.0,21.0,36.0,1.0,49.0,22.0,6.0,18.0,85.0,11.0,,,45.0,
6,20.0,56.0,30.0,85.0,70.0,73.0,,66.0,,,84.0,47.0,50.0,41.0,71.0,,11.0,,,10.0,,38.0,65.0,,89.0,31.0,82.0,53.0,58.0,45.0,68.0,64.0,54.0,88.0,80.0,28.0,81.0,34.0,32.0,87.0,74.0,37.0,42.0,63.0,48.0,61.0,69.0,57.0,77.0,60.0,55.0,19.0,83.0,75.0,72.0,36.0,52.0,26.0,14.0,59.0,46.0,78.0,33.0,25.0,62.0,51.0,12.0,13.0,24.0,21.0,9.0,18.0,15.0,27.0,22.0,29.0,67.0,7.0,5.0,3.0,2.0,49.0,40.0,44.0,86.0,4.0,76.0,23.0,39.0,1.0,35.0,17.0,6.0,16.0,79.0,8.0,,,43.0,
7,20.0,57.0,47.0,86.0,69.0,80.0,,77.0,,,88.0,56.0,36.0,42.0,65.0,,9.0,,,13.0,,37.0,74.0,,89.0,29.0,81.0,54.0,53.0,48.0,63.0,71.0,55.0,87.0,78.0,28.0,82.0,40.0,46.0,83.0,70.0,34.0,45.0,72.0,51.0,58.0,67.0,60.0,76.0,59.0,61.0,23.0,84.0,62.0,75.0,32.0,50.0,26.0,21.0,64.0,52.0,79.0,44.0,25.0,66.0,38.0,11.0,16.0,18.0,24.0,8.0,17.0,14.0,27.0,19.0,33.0,49.0,7.0,10.0,4.0,2.0,35.0,39.0,31.0,85.0,3.0,73.0,22.0,43.0,1.0,30.0,15.0,5.0,12.0,68.0,6.0,,,41.0,
8,22.0,58.0,51.0,86.0,66.0,83.0,,76.0,,,87.0,57.0,35.0,41.0,64.0,,9.0,,,16.0,,39.0,75.0,,89.0,30.0,84.0,54.0,53.0,46.0,71.0,74.0,55.0,88.0,77.0,29.0,82.0,47.0,61.0,72.0,67.0,33.0,45.0,73.0,48.0,52.0,68.0,60.0,78.0,63.0,50.0,20.0,81.0,65.0,69.0,31.0,49.0,26.0,21.0,70.0,56.0,80.0,43.0,25.0,59.0,38.0,12.0,15.0,14.0,23.0,8.0,18.0,13.0,28.0,19.0,36.0,37.0,7.0,17.0,4.0,2.0,32.0,40.0,27.0,85.0,3.0,79.0,24.0,44.0,1.0,34.0,11.0,5.0,10.0,62.0,6.0,,,42.0,
9,25.0,56.0,53.0,88.0,65.0,82.0,,81.0,,,90.0,71.0,37.0,44.0,61.0,,10.0,,,17.0,,43.0,76.0,,89.0,36.0,86.0,57.0,58.0,49.0,74.0,77.0,60.0,91.0,78.0,26.0,84.0,55.0,73.0,52.0,72.0,38.0,54.0,79.0,42.0,50.0,70.0,62.0,83.0,64.0,46.0,22.0,69.0,66.0,63.0,33.0,51.0,31.0,21.0,75.0,67.0,80.0,47.0,19.0,39.0,41.0,14.0,16.0,13.0,24.0,9.0,18.0,15.0,32.0,27.0,45.0,35.0,8.0,20.0,5.0,4.0,30.0,48.0,23.0,87.0,2.0,85.0,28.0,29.0,1.0,40.0,12.0,6.0,11.0,59.0,7.0,68.0,3.0,34.0,
10,33.0,59.0,56.0,88.0,64.0,78.0,,85.0,,,90.0,72.0,41.0,48.0,61.0,,10.0,,,20.0,,51.0,75.0,,89.0,42.0,86.0,60.0,65.0,52.0,74.0,81.0,63.0,91.0,79.0,27.0,80.0,62.0,77.0,22.0,73.0,43.0,67.0,83.0,35.0,50.0,71.0,70.0,82.0,66.0,40.0,25.0,23.0,68.0,45.0,37.0,58.0,24.0,21.0,76.0,69.0,54.0,44.0,15.0,30.0,47.0,14.0,18.0,13.0,31.0,9.0,16.0,17.0,28.0,34.0,49.0,36.0,8.0,29.0,3.0,5.0,26.0,53.0,19.0,84.0,2.0,87.0,39.0,32.0,1.0,46.0,11.0,4.0,12.0,55.0,7.0,57.0,6.0,38.0,
11,44.0,61.0,62.0,88.0,50.0,63.0,,82.0,,,90.0,75.0,30.0,55.0,46.0,,14.0,,,35.0,,54.0,69.0,,89.0,45.0,85.0,73.0,67.0,58.0,86.0,76.0,68.0,91.0,81.0,42.0,64.0,56.0,79.0,24.0,84.0,53.0,77.0,78.0,22.0,52.0,71.0,70.0,83.0,60.0,29.0,39.0,13.0,74.0,41.0,38.0,57.0,36.0,19.0,72.0,66.0,51.0,48.0,1.0,7.0,59.0,18.0,26.0,16.0,40.0,15.0,28.0,33.0,34.0,47.0,32.0,17.0,10.0,31.0,5.0,9.0,20.0,65.0,23.0,80.0,4.0,87.0,49.0,43.0,3.0,37.0,11.0,6.0,21.0,27.0,8.0,12.0,2.0,25.0,
12,46.0,59.0,63.0,88.0,53.0,50.0,,81.0,,,90.0,78.0,31.0,61.0,48.0,,21.0,,,38.0,,56.0,70.0,,89.0,43.0,86.0,71.0,66.0,54.0,85.0,75.0,68.0,91.0,79.0,44.0,64.0,58.0,82.0,11.0,84.0,52.0,80.0,77.0,15.0,47.0,72.0,69.0,83.0,62.0,27.0,39.0,4.0,74.0,16.0,40.0,55.0,34.0,19.0,73.0,67.0,30.0,51.0,1.0,2.0,60.0,20.0,29.0,18.0,45.0,22.0,33.0,41.0,35.0,49.0,32.0,14.0,12.0,36.0,6.0,10.0,17.0,65.0,23.0,76.0,7.0,87.0,57.0,42.0,5.0,37.0,13.0,8.0,26.0,28.0,9.0,24.0,3.0,25.0,
13,48.0,55.0,58.0,88.0,57.0,38.0,,79.0,,,90.0,82.0,34.0,63.0,49.0,,24.0,,,43.0,,61.0,69.0,,89.0,36.0,87.0,72.0,65.0,52.0,84.0,73.0,67.0,91.0,77.0,44.0,64.0,53.0,81.0,4.0,85.0,54.0,80.0,78.0,12.0,45.0,71.0,70.0,83.0,56.0,18.0,42.0,3.0,74.0,11.0,39.0,59.0,31.0,19.0,76.0,68.0,20.0,50.0,2.0,1.0,62.0,21.0,30.0,22.0,46.0,25.0,35.0,47.0,33.0,51.0,32.0,10.0,16.0,40.0,5.0,15.0,17.0,66.0,23.0,75.0,7.0,86.0,60.0,41.0,8.0,37.0,14.0,9.0,29.0,27.0,13.0,28.0,6.0,26.0,
14,49.0,56.0,58.0,89.0,59.0,38.0,,80.0,,,91.0,83.0,34.0,62.0,50.0,,24.0,,,46.0,,61.0,69.0,,90.0,35.0,88.0,73.0,66.0,52.0,85.0,75.0,67.0,92.0,78.0,43.0,65.0,54.0,82.0,4.0,84.0,55.0,81.0,79.0,11.0,44.0,71.0,72.0,87.0,57.0,17.0,45.0,3.0,76.0,7.0,40.0,60.0,29.0,19.0,77.0,70.0,20.0,51.0,2.0,1.0,64.0,22.0,28.0,21.0,47.0,25.0,37.0,48.0,31.0,53.0,32.0,9.0,16.0,42.0,6.0,15.0,18.0,68.0,23.0,74.0,5.0,86.0,63.0,41.0,8.0,39.0,14.0,12.0,30.0,27.0,13.0,36.0,10.0,26.0,33.0
15,49.0,58.0,59.0,89.0,60.0,34.0,,80.0,,,91.0,83.0,33.0,62.0,48.0,,26.0,,,45.0,,55.0,69.0,,90.0,32.0,88.0,72.0,66.0,52.0,85.0,71.0,68.0,92.0,78.0,50.0,65.0,53.0,82.0,4.0,86.0,56.0,81.0,79.0,9.0,39.0,74.0,76.0,87.0,57.0,17.0,43.0,3.0,75.0,6.0,37.0,61.0,28.0,19.0,77.0,70.0,20.0,47.0,2.0,1.0,64.0,22.0,29.0,21.0,46.0,25.0,38.0,51.0,30.0,54.0,31.0,8.0,15.0,42.0,7.0,14.0,18.0,67.0,23.0,73.0,5.0,84.0,63.0,40.0,11.0,36.0,13.0,10.0,35.0,27.0,16.0,41.0,12.0,24.0,44.0
16,50.0,56.0,58.0,89.0,59.0,34.0,,79.0,,,91.0,83.0,33.0,61.0,48.0,,26.0,,,44.0,,52.0,68.0,,90.0,31.0,88.0,73.0,66.0,47.0,86.0,71.0,70.0,92.0,78.0,53.0,65.0,51.0,82.0,4.0,85.0,55.0,81.0,80.0,9.0,39.0,72.0,76.0,87.0,57.0,15.0,42.0,3.0,75.0,6.0,37.0,62.0,28.0,18.0,77.0,69.0,20.0,46.0,2.0,1.0,64.0,22.0,29.0,21.0,45.0,25.0,36.0,49.0,30.0,54.0,32.0,8.0,14.0,40.0,7.0,12.0,16.0,67.0,23.0,74.0,5.0,84.0,63.0,41.0,10.0,35.0,13.0,11.0,38.0,27.0,17.0,43.0,19.0,24.0,60.0
17,51.0,57.0,59.0,88.0,60.0,31.0,,80.0,,,91.0,83.0,34.0,61.0,49.0,,26.0,,,43.0,,55.0,67.0,,90.0,30.0,89.0,74.0,66.0,45.0,87.0,70.0,71.0,92.0,78.0,53.0,65.0,52.0,82.0,4.0,85.0,56.0,81.0,79.0,9.0,39.0,72.0,77.0,86.0,58.0,14.0,42.0,3.0,75.0,5.0,36.0,62.0,27.0,17.0,76.0,68.0,18.0,46.0,2.0,1.0,64.0,22.0,28.0,21.0,44.0,35.0,37.0,47.0,29.0,54.0,32.0,7.0,15.0,40.0,6.0,12.0,16.0,69.0,23.0,73.0,8.0,84.0,63.0,41.0,10.0,33.0,13.0,11.0,38.0,25.0,19.0,48.0,20.0,24.0,50.0
18,51.0,56.0,57.0,89.0,61.0,31.0,,80.0,,,91.0,84.0,34.0,62.0,50.0,,26.0,,,45.0,,53.0,67.0,,90.0,30.0,88.0,75.0,64.0,46.0,87.0,74.0,69.0,92.0,78.0,55.0,66.0,52.0,81.0,4.0,85.0,54.0,82.0,79.0,8.0,39.0,73.0,77.0,86.0,59.0,13.0,42.0,3.0,72.0,5.0,36.0,60.0,27.0,17.0,76.0,68.0,18.0,47.0,2.0,1.0,65.0,22.0,28.0,19.0,43.0,35.0,37.0,49.0,29.0,48.0,32.0,7.0,16.0,41.0,6.0,11.0,14.0,71.0,21.0,70.0,9.0,83.0,63.0,40.0,10.0,33.0,15.0,12.0,38.0,25.0,20.0,58.0,23.0,24.0,44.0
19,49.0,53.0,56.0,90.0,61.0,31.0,81.0,80.0,,,92.0,84.0,36.0,62.0,51.0,,28.0,,,46.0,,55.0,67.0,,91.0,30.0,89.0,75.0,64.0,45.0,88.0,72.0,73.0,93.0,78.0,57.0,66.0,50.0,82.0,4.0,86.0,54.0,85.0,79.0,8.0,38.0,70.0,77.0,87.0,58.0,13.0,42.0,3.0,69.0,5.0,35.0,59.0,26.0,18.0,76.0,68.0,17.0,47.0,2.0,1.0,65.0,20.0,27.0,21.0,43.0,34.0,37.0,52.0,29.0,48.0,33.0,7.0,15.0,41.0,6.0,12.0,14.0,74.0,19.0,71.0,9.0,83.0,63.0,40.0,10.0,32.0,16.0,11.0,39.0,25.0,22.0,60.0,23.0,24.0,44.0
20,48.0,52.0,55.0,90.0,60.0,31.0,85.0,80.0,,,92.0,83.0,36.0,64.0,51.0,,28.0,,,47.0,,54.0,66.0,,91.0,30.0,89.0,74.0,62.0,45.0,88.0,72.0,75.0,93.0,78.0,57.0,65.0,50.0,81.0,4.0,87.0,53.0,84.0,79.0,8.0,37.0,70.0,77.0,86.0,58.0,13.0,44.0,3.0,68.0,6.0,34.0,59.0,26.0,18.0,76.0,69.0,16.0,46.0,2.0,1.0,67.0,19.0,27.0,21.0,42.0,35.0,38.0,56.0,29.0,49.0,33.0,7.0,15.0,41.0,5.0,12.0,14.0,73.0,20.0,71.0,9.0,82.0,61.0,39.0,10.0,32.0,17.0,11.0,43.0,24.0,22.0,63.0,23.0,25.0,40.0
21,47.0,55.0,54.0,89.0,60.0,29.0,82.0,80.0,,,91.0,84.0,36.0,63.0,51.0,,31.0,,,48.0,,56.0,66.0,,92.0,30.0,90.0,75.0,61.0,45.0,88.0,72.0,74.0,93.0,77.0,57.0,65.0,49.0,81.0,4.0,87.0,52.0,85.0,79.0,8.0,39.0,70.0,78.0,86.0,53.0,13.0,43.0,3.0,68.0,6.0,35.0,59.0,26.0,18.0,76.0,69.0,16.0,46.0,2.0,1.0,67.0,19.0,27.0,21.0,42.0,34.0,37.0,58.0,28.0,50.0,33.0,7.0,15.0,41.0,5.0,12.0,14.0,73.0,20.0,71.0,10.0,83.0,62.0,40.0,9.0,32.0,17.0,11.0,44.0,23.0,22.0,64.0,25.0,24.0,38.0
22,46.0,55.0,53.0,88.0,60.0,30.0,62.0,80.0,,,91.0,84.0,37.0,64.0,52.0,,33.0,,,51.0,,56.0,66.0,,92.0,29.0,90.0,77.0,63.0,45.0,89.0,72.0,74.0,93.0,78.0,58.0,65.0,48.0,82.0,4.0,87.0,54.0,86.0,81.0,8.0,39.0,69.0,79.0,85.0,50.0,10.0,44.0,3.0,71.0,5.0,36.0,57.0,26.0,18.0,76.0,70.0,14.0,47.0,2.0,1.0,67.0,20.0,27.0,22.0,42.0,35.0,40.0,59.0,28.0,49.0,34.0,7.0,17.0,41.0,6.0,12.0,15.0,73.0,19.0,75.0,11.0,83.0,61.0,38.0,9.0,32.0,16.0,13.0,43.0,23.0,21.0,68.0,25.0,24.0,31.0
23,46.0,56.0,49.0,88.0,62.0,28.0,55.0,81.0,,,91.0,85.0,39.0,64.0,51.0,,34.0,,,53.0,,60.0,65.0,,92.0,30.0,90.0,78.0,63.0,45.0,89.0,71.0,72.0,93.0,75.0,59.0,68.0,47.0,82.0,4.0,84.0,57.0,86.0,80.0,8.0,37.0,66.0,79.0,87.0,50.0,10.0,44.0,3.0,69.0,5.0,36.0,54.0,26.0,18.0,77.0,73.0,14.0,48.0,2.0,1.0,67.0,20.0,27.0,21.0,42.0,35.0,40.0,58.0,29.0,52.0,33.0,7.0,17.0,41.0,6.0,13.0,12.0,76.0,19.0,74.0,15.0,83.0,61.0,38.0,9.0,31.0,16.0,11.0,43.0,22.0,23.0,70.0,25.0,24.0,32.0
24,46.0,56.0,49.0,87.0,62.0,28.0,61.0,81.0,,,91.0,85.0,39.0,64.0,53.0,,35.0,,,50.0,,59.0,65.0,,92.0,29.0,89.0,78.0,63.0,45.0,90.0,70.0,74.0,93.0,75.0,58.0,68.0,47.0,82.0,4.0,83.0,57.0,86.0,80.0,8.0,38.0,66.0,79.0,88.0,51.0,10.0,44.0,3.0,69.0,5.0,36.0,54.0,25.0,18.0,77.0,71.0,13.0,48.0,2.0,1.0,67.0,20.0,27.0,21.0,42.0,34.0,40.0,55.0,30.0,52.0,32.0,9.0,17.0,41.0,6.0,14.0,12.0,76.0,19.0,72.0,15.0,84.0,60.0,37.0,7.0,31.0,16.0,11.0,43.0,22.0,23.0,73.0,26.0,24.0,33.0
25,47.0,57.0,50.0,89.0,63.0,28.0,64.0,81.0,1.0,,92.0,85.0,40.0,67.0,53.0,,34.0,,,52.0,,60.0,65.0,,93.0,27.0,90.0,79.0,62.0,45.0,91.0,71.0,74.0,94.0,75.0,59.0,69.0,48.0,83.0,5.0,84.0,58.0,87.0,82.0,9.0,39.0,66.0,80.0,88.0,51.0,11.0,46.0,4.0,70.0,6.0,37.0,55.0,26.0,18.0,78.0,73.0,14.0,49.0,3.0,2.0,68.0,20.0,29.0,22.0,42.0,36.0,41.0,54.0,30.0,56.0,32.0,10.0,21.0,43.0,8.0,15.0,12.0,76.0,19.0,72.0,16.0,86.0,61.0,38.0,7.0,33.0,17.0,13.0,44.0,23.0,24.0,77.0,31.0,25.0,35.0
